Dates;Open;Close;High;Low
18/04/2019 13:42:00;3,9356;3,9364;3,9366;3,9355
18/04/2019 13:43:00;3,9364;3,937;3,937;3,9363
18/04/2019 13:44:00;3,937;3,9379;3,9379;3,9368
18/04/2019 13:45:00;3,9379;3,9378;3,938;3,9377
18/04/2019 13:46:00;3,9378;3,9374;3,9379;3,9374
18/04/2019 13:47:00;3,9374;3,9374;3,9374;3,9372
18/04/2019 13:48:00;3,9374;3,9369;3,9378;3,9367
18/04/2019 13:49:00;3,9369;3,9372;3,9372;3,9368
18/04/2019 13:50:00;3,9372;3,9372;3,9372;3,9366
18/04/2019 13:51:00;3,9372;3,9367;3,9373;3,9367
18/04/2019 13:52:00;3,9367;3,9357;3,9367;3,9356
18/04/2019 13:53:00;3,9357;3,9353;3,9359;3,9352
18/04/2019 13:54:00;3,9353;3,937;3,937;3,9353
18/04/2019 13:55:00;3,9371;3,9394;3,9394;3,9371
18/04/2019 13:56:00;3,9393;3,9386;3,9396;3,9385
18/04/2019 13:57:00;3,9385;3,9381;3,9387;3,9381
18/04/2019 13:58:00;3,9381;3,9381;3,9386;3,9381
18/04/2019 13:59:00;3,9381;3,9386;3,9387;3,9381
18/04/2019 14:00:00;3,9386;3,9386;3,9386;3,9386
18/04/2019 14:01:00;3,9386;3,9384;3,9386;3,9383
18/04/2019 14:02:00;3,9384;3,9388;3,9388;3,9383
18/04/2019 14:03:00;3,9389;3,9388;3,939;3,9387
18/04/2019 14:04:00;3,9388;3,9389;3,9389;3,9388
18/04/2019 14:05:00;3,9389;3,9388;3,939;3,9387
18/04/2019 14:06:00;3,9388;3,9397;3,9397;3,9388
18/04/2019 14:07:00;3,9397;3,94;3,94;3,9392
18/04/2019 14:08:00;3,94;3,9404;3,9405;3,9398
18/04/2019 14:09:00;3,9404;3,9404;3,9408;3,9403
18/04/2019 14:10:00;3,9404;3,9399;3,9404;3,9398
18/04/2019 14:11:00;3,9399;3,9398;3,9402;3,9398
18/04/2019 14:12:00;3,94;3,9406;3,9411;3,94
18/04/2019 14:13:00;3,9406;3,941;3,941;3,9406
18/04/2019 14:14:00;3,941;3,9414;3,9415;3,941
18/04/2019 14:15:00;3,9414;3,9412;3,9416;3,9411
18/04/2019 14:16:00;3,9412;3,9437;3,9437;3,9409
18/04/2019 14:17:00;3,9437;3,9434;3,9447;3,9431
18/04/2019 14:18:00;3,9434;3,9437;3,9437;3,9433
18/04/2019 14:19:00;3,9437;3,9439;3,944;3,9437
18/04/2019 14:20:00;3,9439;3,9444;3,9445;3,9438
18/04/2019 14:21:00;3,9444;3,944;3,9444;3,9439
18/04/2019 14:22:00;3,9441;3,9449;3,9454;3,9441
18/04/2019 14:23:00;3,9449;3,9448;3,9451;3,9448
18/04/2019 14:24:00;3,9448;3,9444;3,9448;3,9441
18/04/2019 14:25:00;3,9444;3,9441;3,9444;3,9441
18/04/2019 14:26:00;3,9441;3,9441;3,9442;3,9441
18/04/2019 14:27:00;3,9441;3,9439;3,9441;3,9438
18/04/2019 14:28:00;3,9439;3,9433;3,9439;3,9431
18/04/2019 14:29:00;3,9433;3,9425;3,9433;3,9421
18/04/2019 14:30:00;3,9425;3,942;3,9427;3,942
18/04/2019 14:31:00;3,942;3,9422;3,9424;3,942
18/04/2019 14:32:00;3,9422;3,9418;3,9422;3,9416
18/04/2019 14:33:00;3,9418;3,9413;3,9418;3,9412
18/04/2019 14:34:00;3,9413;3,9412;3,9413;3,9411
18/04/2019 14:35:00;3,9411;3,941;3,9413;3,941
18/04/2019 14:36:00;3,941;3,9405;3,941;3,9405
18/04/2019 14:37:00;3,9405;3,9398;3,9406;3,9396
18/04/2019 14:38:00;3,9398;3,9396;3,9401;3,9396
18/04/2019 14:39:00;3,9396;3,9397;3,9397;3,9395
18/04/2019 14:40:00;3,9397;3,9393;3,9397;3,9392
18/04/2019 14:41:00;3,9393;3,9397;3,9398;3,9393
18/04/2019 14:42:00;3,9397;3,94;3,94;3,9396
18/04/2019 14:43:00;3,94;3,938;3,9402;3,9377
18/04/2019 14:44:00;3,938;3,9349;3,9382;3,9349
18/04/2019 14:45:00;3,9349;3,9338;3,935;3,9337
18/04/2019 14:46:00;3,9338;3,9331;3,9338;3,9328
18/04/2019 14:47:00;3,9331;3,9327;3,9338;3,9327
18/04/2019 14:48:00;3,9327;3,9323;3,9327;3,9321
18/04/2019 14:49:00;3,9323;3,9329;3,933;3,9323
18/04/2019 14:50:00;3,9329;3,9332;3,9334;3,9328
18/04/2019 14:51:00;3,9332;3,9328;3,9332;3,9326
18/04/2019 14:52:00;3,933;3,9339;3,9339;3,933
18/04/2019 14:53:00;3,9339;3,9339;3,9339;3,9337
18/04/2019 14:54:00;3,9339;3,9342;3,9342;3,9339
18/04/2019 14:55:00;3,9342;3,9355;3,9355;3,9342
18/04/2019 14:56:00;3,9356;3,9357;3,9359;3,9353
18/04/2019 14:57:00;3,9357;3,9357;3,9359;3,9355
18/04/2019 14:58:00;3,9357;3,9352;3,9357;3,9352
18/04/2019 14:59:00;3,9352;3,9357;3,9362;3,9352
18/04/2019 15:00:00;3,9357;3,9357;3,9363;3,9355
18/04/2019 15:01:00;3,9357;3,9356;3,9362;3,9356
18/04/2019 15:02:00;3,9356;3,9358;3,9358;3,9355
18/04/2019 15:03:00;3,9358;3,9355;3,9358;3,9355
18/04/2019 15:04:00;3,9355;3,9355;3,9355;3,9355
18/04/2019 15:05:00;3,9355;3,9352;3,9355;3,9352
18/04/2019 15:06:00;3,9352;3,9348;3,9352;3,9345
18/04/2019 15:07:00;3,9348;3,9336;3,9348;3,9335
18/04/2019 15:08:00;3,9336;3,9333;3,9336;3,9327
18/04/2019 15:09:00;3,9334;3,9345;3,9348;3,9333
18/04/2019 15:10:00;3,9345;3,9348;3,9348;3,9343
18/04/2019 15:11:00;3,9349;3,9351;3,9351;3,9349
18/04/2019 15:12:00;3,9351;3,9355;3,9355;3,9351
18/04/2019 15:13:00;3,9355;3,9354;3,9357;3,9353
18/04/2019 15:14:00;3,9354;3,9342;3,9357;3,9341
18/04/2019 15:15:00;3,9342;3,9345;3,9348;3,9342
18/04/2019 15:16:00;3,9345;3,935;3,935;3,9345
18/04/2019 15:17:00;3,935;3,9348;3,935;3,9348
18/04/2019 15:18:00;3,9348;3,9351;3,9352;3,9348
18/04/2019 15:19:00;3,9351;3,9352;3,9352;3,9348
18/04/2019 15:20:00;3,9352;3,9346;3,9352;3,9346
18/04/2019 15:21:00;3,9346;3,9347;3,9348;3,9346
18/04/2019 15:22:00;3,9345;3,9345;3,9345;3,9345
18/04/2019 15:23:00;3,9345;3,9351;3,9351;3,9345
18/04/2019 15:24:00;3,9351;3,9357;3,9357;3,9351
18/04/2019 15:25:00;3,9357;3,9355;3,9358;3,9355
18/04/2019 15:26:00;3,9356;3,9357;3,9358;3,9354
18/04/2019 15:27:00;3,9358;3,9359;3,9359;3,9357
18/04/2019 15:28:00;3,9359;3,9354;3,9359;3,9353
